sampleId	Group	SIMS
TCGA.19.1385.01	MS	0.625457491
TCGA.06.0124.01	MS	0.609317814
TCGA.28.5215.01	MS	0.585808284
TCGA.26.5139.01	MS	0.572058559
TCGA.12.0829.01	MS	0.571551068
TCGA.28.2509.01	MS	0.482153294
TCGA.02.0015.01	MS	0.479466494
TCGA.19.5955.01	MS	0.449456601
TCGA.28.1745.01	MS	0.446482844
TCGA.02.0001.01	MS	0.420672617
TCGA.06.0650.01	MS	0.417710929
TCGA.06.0132.01	MS	0.401040562
TCGA.06.0154.01	MS	0.390572189
TCGA.02.0054.01	MS	0.3872761
TCGA.06.5412.01	MS	0.376102478
TCGA.14.0812.01	MS	0.36605135
TCGA.28.5214.01	MS	0.348203036
TCGA.02.0006.01	MS	0.329204991
TCGA.02.0075.01	MS	0.328713426
TCGA.28.1751.01	MS	0.267422556
TCGA.19.2623.01	MS	0.263615808
TCGA.28.5216.01	MS	0.246000947
TCGA.12.0773.01	MS	0.232248693
TCGA.06.0649.01	MS	0.232119757
TCGA.16.1045.01	MS	0.201258708
TCGA.12.0620.01	MS	0.184535445
TCGA.28.1750.01	MS	0.178360675
TCGA.28.2502.01	MS	0.164073785
TCGA.06.0138.01	MS	0.162367561
TCGA.06.2562.01	MS	0.161215458
TCGA.02.0085.01	MS	0.153733177
TCGA.76.4926.01	MS	0.147449656
TCGA.32.4213.01	MS	0.143000319
TCGA.41.3393.01	MS	0.124145707
TCGA.06.0169.01	MS	0.123607528
TCGA.28.5213.01	MS	0.119347613
TCGA.76.6193.01	MS	0.118366445
TCGA.14.1037.01	MS	0.11544249
TCGA.32.2615.01	MS	0.11198984
TCGA.06.5418.01	MS	0.100579908
TCGA.14.1829.01	MS	0.095409853
TCGA.06.0143.01	MS	0.091779396
TCGA.02.0116.01	MS	0.091626335
TCGA.06.0878.01	MS	0.088766915
TCGA.12.1088.01	MS	0.082678346
TCGA.32.1986.01	MS	0.077975182
TCGA.76.6282.01	MS	0.060788784
TCGA.06.0148.01	MS	0.057358245
TCGA.06.5413.01	MS	0.055966442
TCGA.28.5208.01	MS	0.055088898
TCGA.32.2491.01	MS	0.051308461
TCGA.14.0781.01	MS	0.039579208
