array	sample	call.status	purity	ploidy	Genome.doublings	Coverage.for.80..power	Cancer.DNA.fraction	Subclonal.genome.fraction	solution
TCGA-76-6192-01	TCGA-76-6192-01A-11D-1694-01	called	0.52	2	0	16	0.52	0	new
TCGA-76-6193-01	TCGA-76-6193-01A-11D-1694-01	called	0.43	1.82	0	18	0.41	0	new
TCGA-76-6280-01	TCGA-76-6280-01A-21D-1842-01	called	0.79	2.02	0	10	0.79	0.12	new
TCGA-76-6282-01	TCGA-76-6282-01A-11D-1694-01	called	0.57	1.92	0	14	0.56	0.04	new
TCGA-76-6285-01	TCGA-76-6285-01A-11D-1694-01	called	0.88	1.85	0	8	0.88	0.09	new
TCGA-76-6286-01	TCGA-76-6286-01A-11D-1842-01	called	0.94	1.89	0	8	0.94	0.05	new
TCGA-76-6656-01	TCGA-76-6656-01A-11D-1842-01	called	0.85	2.04	0	9	0.85	0	new
TCGA-76-6657-01	TCGA-76-6657-01A-11D-1842-01	called	0.81	2.01	0	10	0.81	0	new
TCGA-76-6661-01	TCGA-76-6661-01B-11D-1842-01	called	0.8	2.03	0	10	0.8	0.02	new
TCGA-76-6662-01	TCGA-76-6662-01A-11D-1842-01	called	0.59	2.05	0	14	0.59	0.02	new
TCGA-76-6663-01	TCGA-76-6663-01A-11D-1842-01	called	0.58	2.04	0	14	0.58	0.06	new
TCGA-76-6664-01	TCGA-76-6664-01A-11D-1842-01	called	0.7	2.01	0	11	0.71	0	new
TCGA-81-5910-01	TCGA-81-5910-01A-11D-1694-01	called	0.9	1.98	0	9	0.9	0	new
TCGA-81-5911-01	TCGA-81-5911-01A-12D-1842-01	called	0.79	2	0	10	0.79	0.02	new
TCGA-87-5896-01	TCGA-87-5896-01A-01D-1694-01	called	0.86	2.01	0	9	0.86	0.01	new
TCGA-CS-4938-01	TCGA-CS-4938-01B-11D-1892-01	called	0.79	2	0	10	0.79	0.03	new
TCGA-CS-4941-01	TCGA-CS-4941-01A-01D-1466-01	called	0.62	2.05	0	13	0.62	0.05	new
TCGA-CS-4942-01	TCGA-CS-4942-01A-01D-1466-01	called	0.77	2.05	0	11	0.77	0	new
TCGA-CS-4943-01	TCGA-CS-4943-01A-01D-1466-01	called	0.83	3.9	1	18	0.9	0.12	new
TCGA-CS-4944-01	TCGA-CS-4944-01A-01D-1466-01	called	0.74	1.94	0	11	0.74	0	new
TCGA-CS-5390-01	TCGA-CS-5390-01A-02D-1466-01	called	0.86	1.95	0	9	0.86	0.04	new
TCGA-CS-5393-01	TCGA-CS-5393-01A-01D-1466-01	called	0.55	4.13	1	29	0.71	0.03	new
TCGA-CS-5394-01	TCGA-CS-5394-01A-01D-1466-01	called	0.91	1.95	0	8	0.9	0	new
TCGA-CS-5395-01	TCGA-CS-5395-01A-01D-1466-01	called	0.81	2.05	0	10	0.81	0	new
TCGA-CS-5396-01	TCGA-CS-5396-01A-02D-1466-01	called	0.89	1.97	0	9	0.89	0.09	new
TCGA-CS-5397-01	TCGA-CS-5397-01A-01D-1892-01	called	0.65	1.95	0	12	0.64	0.04	new
TCGA-CS-6186-01	TCGA-CS-6186-01A-12D-2023-01	called	0.89	2.03	0	9	0.89	0.01	new
TCGA-CS-6188-01	TCGA-CS-6188-01A-11D-1892-01	called	0.68	2.02	0	12	0.68	0.03	new
TCGA-CS-6290-01	TCGA-CS-6290-01A-11D-1704-01	called	0.53	4.02	1	29	0.69	0.08	new
TCGA-CS-6666-01	TCGA-CS-6666-01A-11D-1892-01	called	0.25	4.29	1	55	0.42	0.57	new
TCGA-CS-6667-01	TCGA-CS-6667-01A-12D-2023-01	called	0.73	2.01	0	11	0.73	0.03	new
TCGA-CS-6668-01	TCGA-CS-6668-01A-11D-1892-01	called	0.98	1.95	0	8	0.98	0	new
TCGA-CS-6669-01	TCGA-CS-6669-01A-11D-1892-01	called	0.28	2	0	37	0.28	0	new
TCGA-DB-5273-01	TCGA-DB-5273-01A-01D-1466-01	called	0.73	2.01	0	11	0.73	0.01	new
TCGA-DB-5274-01	TCGA-DB-5274-01A-01D-1466-01	called	0.83	1.95	0	9	0.83	0.13	new
TCGA-DB-5275-01	TCGA-DB-5275-01A-01D-1466-01	called	0.91	1.87	0	8	0.9	0.08	new
TCGA-DB-5276-01	TCGA-DB-5276-01A-01D-1466-01	called	0.36	2	0	27	0.36	0.09	new
TCGA-DB-5277-01	TCGA-DB-5277-01A-01D-1466-01	called	0.9	1.8	0	8	0.88	0.19	new
TCGA-DB-5278-01	TCGA-DB-5278-01A-01D-1466-01	called	0.78	1.95	0	10	0.78	0	new
TCGA-DB-5280-01	TCGA-DB-5280-01A-01D-1466-01	called	0.87	1.97	0	9	0.86	0	new
TCGA-DB-5281-01	TCGA-DB-5281-01A-01D-1466-01	called	0.28	3.63	1	47	0.42	0.05	new
TCGA-DB-A4X9-01	TCGA-DB-A4X9-01A-11D-A26L-01	called	0.84	2.1	0	10	0.85	0	new
TCGA-DB-A4XA-01	TCGA-DB-A4XA-01A-11D-A26L-01	called	0.77	1.94	0	10	0.76	0.16	new
TCGA-DB-A4XB-01	TCGA-DB-A4XB-01A-11D-A26L-01	called	0.91	2.01	0	9	0.91	0.05	new
TCGA-DB-A4XC-01	TCGA-DB-A4XC-01A-11D-A26L-01	called	0.67	2	0	12	0.67	0.01	new
TCGA-DB-A4XD-01	TCGA-DB-A4XD-01A-11D-A27J-01	called	0.83	2.02	0	10	0.83	0.09	new
TCGA-DB-A4XE-01	TCGA-DB-A4XE-01A-11D-A27J-01	called	0.93	2.16	0	9	0.93	0.08	new
TCGA-DB-A4XF-01	TCGA-DB-A4XF-01A-11D-A27J-01	called	0.84	1.97	0	9	0.84	0.05	new
TCGA-DB-A4XG-01	TCGA-DB-A4XG-01A-11D-A27J-01	called	0.93	1.91	0	8	0.93	0.04	new
TCGA-DB-A4XH-01	TCGA-DB-A4XH-01A-11D-A27J-01	called	0.85	1.95	0	9	0.85	0.23	new
TCGA-DB-A64L-01	TCGA-DB-A64L-01A-11D-A323-01	called	0.61	3.81	1	21	0.75	0.07	new
TCGA-DB-A64O-01	TCGA-DB-A64O-01A-11D-A323-01	called	0.53	1.9	0	15	0.52	0	new
TCGA-DB-A64P-01	TCGA-DB-A64P-01A-11D-A323-01	called	0.87	1.95	0	9	0.86	0	new
TCGA-DB-A64Q-01	TCGA-DB-A64Q-01A-11D-A323-01	called	0.82	3.95	1	18	0.9	0.02	new
TCGA-DB-A64R-01	TCGA-DB-A64R-01A-11D-A323-01	called	0.96	1.94	0	8	0.96	0	new
TCGA-DB-A64S-01	TCGA-DB-A64S-01A-11D-A323-01	called	0.75	2	0	11	0.75	0.02	new
TCGA-DB-A64U-01	TCGA-DB-A64U-01A-11D-A323-01	called	0.78	1.95	0	10	0.78	0.03	new
TCGA-DB-A64V-01	TCGA-DB-A64V-01A-11D-A323-01	called	0.54	1.94	0	15	0.53	0.01	new
TCGA-DB-A64W-01	TCGA-DB-A64W-01A-11D-A323-01	called	0.8	3.79	1	18	0.88	0.04	new
TCGA-DB-A64X-01	TCGA-DB-A64X-01A-11D-A323-01	called	0.94	2	0	8	0.94	0.08	new
TCGA-DB-A75K-01	TCGA-DB-A75K-01A-11D-A32A-01	called	0.84	1.94	0	9	0.83	0	new
TCGA-DB-A75L-01	TCGA-DB-A75L-01A-11D-A32A-01	called	0.71	3.99	1	20	0.83	0.04	new
TCGA-DB-A75M-01	TCGA-DB-A75M-01A-11D-A32A-01	called	0.87	2.02	0	9	0.87	0.01	new
TCGA-DB-A75O-01	TCGA-DB-A75O-01A-11D-A32A-01	called	0.59	3.91	1	24	0.74	0.04	new
TCGA-DB-A75P-01	TCGA-DB-A75P-01A-11D-A32A-01	called	0.7	3.95	1	20	0.82	0.01	new
TCGA-DH-5140-01	TCGA-DH-5140-01A-01D-1466-01	called	0.8	3.64	1	17	0.88	0.16	new
TCGA-DH-5142-01	TCGA-DH-5142-01A-01D-1466-01	called	0.77	3.85	1	18	0.86	0.21	new
TCGA-DH-5143-01	TCGA-DH-5143-01A-01D-1466-01	called	0.29	3.97	1	48	0.44	0.09	new
TCGA-DH-5144-01	TCGA-DH-5144-01A-01D-1466-01	called	0.93	1.95	0	8	0.93	0.03	new
TCGA-DH-A669-01	TCGA-DH-A669-01A-12D-A31K-01	called	0.8	5.76	2	32	0.92	0.31	new
TCGA-DH-A66B-01	TCGA-DH-A66B-01A-11D-A323-01	called	0.44	1.77	0	18	0.41	0.09	new
TCGA-DH-A66D-01	TCGA-DH-A66D-01A-11D-A31K-01	called	0.68	3.83	1	20	0.81	0.12	new
TCGA-DH-A66F-01	TCGA-DH-A66F-01A-11D-A323-01	called	0.93	1.94	0	8	0.93	0	new
TCGA-DH-A66G-01	TCGA-DH-A66G-01A-21D-A31K-01	called	0.23	3.68	1	57	0.35	0.25	new
TCGA-DH-A7UR-01	TCGA-DH-A7UR-01A-11D-A33S-01	called	0.6	3.86	1	23	0.74	0.06	new
TCGA-DH-A7US-01	TCGA-DH-A7US-01A-11D-A33S-01	called	0.74	1.94	0	11	0.74	0	new
TCGA-DH-A7UT-01	TCGA-DH-A7UT-01A-12D-A349-01	called	0.69	2.09	0	12	0.7	0.21	new
TCGA-DH-A7UU-01	TCGA-DH-A7UU-01A-12D-A349-01	called	0.77	3.89	1	19	0.87	0.05	new
TCGA-DH-A7UV-01	TCGA-DH-A7UV-01A-12D-A349-01	called	0.55	4.06	1	28	0.71	0.1	new
TCGA-DU-5847-01	TCGA-DU-5847-01A-11D-1704-01	called	0.76	1.79	0	10	0.74	0	new
TCGA-DU-5849-01	TCGA-DU-5849-01A-11D-1704-01	called	0.69	1.97	0	11	0.69	0.03	new
TCGA-DU-5851-01	TCGA-DU-5851-01A-13D-1892-01	called	0.44	1.93	0	18	0.44	0.05	new
TCGA-DU-5852-01	TCGA-DU-5852-01A-11D-1704-01	called	0.81	1.9	0	9	0.8	0.03	new
TCGA-DU-5853-01	TCGA-DU-5853-01A-11D-1892-01	called	0.83	2	0	10	0.83	0.06	new
TCGA-DU-5854-01	TCGA-DU-5854-01A-11D-1704-01	called	0.52	2.02	0	16	0.53	0	new
TCGA-DU-5855-01	TCGA-DU-5855-01A-11D-1704-01	called	0.56	1.97	0	15	0.55	0.07	new
TCGA-DU-5871-01	TCGA-DU-5871-01A-12D-1704-01	called	0.9	2.04	0	9	0.9	0.16	new
TCGA-DU-5872-01	TCGA-DU-5872-01A-11D-1704-01	called	0.87	1.95	0	9	0.86	0.02	new
TCGA-DU-6392-01	TCGA-DU-6392-01A-11D-1704-01	called	0.83	2.07	0	10	0.83	0.1	new
TCGA-DU-6393-01	TCGA-DU-6393-01A-11D-1704-01	called	0.96	1.95	0	8	0.95	0.07	new
TCGA-DU-6394-01	TCGA-DU-6394-01A-11D-1704-01	called	0.98	1.95	0	8	0.98	0.01	new
TCGA-DU-6395-01	TCGA-DU-6395-01A-12D-1704-01	called	0.88	2.06	0	9	0.88	0.02	new
TCGA-DU-6396-01	TCGA-DU-6396-01A-11D-1704-01	called	0.63	3.85	1	21	0.76	0.04	new
TCGA-DU-6397-01	TCGA-DU-6397-01A-11D-1704-01	called	0.79	1.94	0	10	0.79	0.05	new
TCGA-DU-6399-01	TCGA-DU-6399-01A-12D-1704-01	called	0.69	4	1	20	0.81	0.29	new
TCGA-DU-6400-01	TCGA-DU-6400-01A-12D-1704-01	called	0.92	1.91	0	8	0.91	0.19	new
TCGA-DU-6401-01	TCGA-DU-6401-01A-11D-1704-01	called	0.38	1.87	0	21	0.36	0.07	new
TCGA-DU-6402-01	TCGA-DU-6402-01A-11D-1704-01	called	0.64	1.97	0	13	0.63	0.01	new
TCGA-DU-6403-01	TCGA-DU-6403-01A-11D-1704-01	called	0.71	2	0	11	0.71	0	new
TCGA-DU-6404-01	TCGA-DU-6404-01A-11D-1704-01	called	0.29	2.13	0	36	0.31	0.01	new
TCGA-DU-6405-01	TCGA-DU-6405-01A-11D-1704-01	called	0.87	1.93	0	9	0.87	0	new
TCGA-DU-6406-01	TCGA-DU-6406-01A-11D-1704-01	called	0.98	2.05	0	8	0.98	0.03	new
TCGA-DU-6407-01	TCGA-DU-6407-01A-13D-1704-01	called	0.8	2.08	0	10	0.81	0.1	new
TCGA-DU-6408-01	TCGA-DU-6408-01A-11D-1704-01	called	0.89	1.99	0	9	0.89	0.17	new
TCGA-DU-6410-01	TCGA-DU-6410-01A-11D-1892-01	called	0.96	1.94	0	8	0.96	0	new
TCGA-DU-6542-01	TCGA-DU-6542-01A-11D-1892-01	called	0.82	1.94	0	9	0.81	0.15	new
TCGA-DU-7006-01	TCGA-DU-7006-01A-11D-2023-01	called	0.73	1.9	0	11	0.72	0.16	new
TCGA-DU-7007-01	TCGA-DU-7007-01A-11D-2023-01	called	0.84	1.97	0	9	0.84	0.17	new
TCGA-DU-7008-01	TCGA-DU-7008-01A-11D-2023-01	called	0.83	2.05	0	10	0.83	0.12	new
TCGA-DU-7009-01	TCGA-DU-7009-01A-11D-2023-01	called	0.84	1.93	0	9	0.84	0.01	new
TCGA-DU-7010-01	TCGA-DU-7010-01A-11D-2023-01	called	0.75	3.87	1	19	0.86	0.18	new
TCGA-DU-7012-01	TCGA-DU-7012-01A-11D-2023-01	called	0.53	1.92	0	15	0.52	0	new
TCGA-DU-7013-01	TCGA-DU-7013-01A-11D-2023-01	called	0.97	2.18	0	9	0.97	0.08	new
TCGA-DU-7014-01	TCGA-DU-7014-01A-11D-2023-01	called	0.77	2.05	0	11	0.78	0.39	new
TCGA-DU-7015-01	TCGA-DU-7015-01A-11D-2023-01	called	0.32	4.22	1	45	0.5	0.17	new
TCGA-DU-7018-01	TCGA-DU-7018-01A-11D-2023-01	called	0.87	3.85	1	17	0.93	0.09	new
TCGA-DU-7019-01	TCGA-DU-7019-01A-11D-2023-01	called	0.73	2	0	11	0.73	0.03	new
TCGA-DU-7292-01	TCGA-DU-7292-01A-11D-2023-01	called	0.99	1.95	0	8	0.99	0.06	new
TCGA-DU-7294-01	TCGA-DU-7294-01A-11D-2023-01	called	0.93	1.88	0	8	0.93	0.05	new
TCGA-DU-7298-01	TCGA-DU-7298-01A-11D-2023-01	called	0.76	1.91	0	10	0.75	0.09	new
TCGA-DU-7299-01	TCGA-DU-7299-01A-21D-2023-01	called	0.67	3.95	1	21	0.8	0.08	new
TCGA-DU-7301-01	TCGA-DU-7301-01A-11D-2085-01	called	0.89	1.98	0	9	0.89	0.02	new
TCGA-DU-7302-01	TCGA-DU-7302-01A-11D-2085-01	called	0.88	1.88	0	8	0.87	0.04	new
TCGA-DU-7304-01	TCGA-DU-7304-01A-12D-2085-01	called	0.8	2.1	0	10	0.81	0.1	new
TCGA-DU-7306-01	TCGA-DU-7306-01A-11D-2085-01	called	0.85	2.09	0	10	0.85	0.04	new
TCGA-DU-7309-01	TCGA-DU-7309-01A-11D-2085-01	called	0.73	1.98	0	11	0.73	0.17	new
TCGA-DU-8158-01	TCGA-DU-8158-01A-11D-2252-01	called	0.7	1.69	0	10	0.66	0.35	new
TCGA-DU-8161-01	TCGA-DU-8161-01A-11D-2252-01	called	0.54	1.89	0	15	0.53	0.02	new
TCGA-DU-8162-01	TCGA-DU-8162-01A-21D-2252-01	called	0.21	2.13	0	52	0.22	0.13	new
TCGA-DU-8163-01	TCGA-DU-8163-01A-11D-2252-01	called	0.46	4.11	1	33	0.64	0.09	new
TCGA-DU-8164-01	TCGA-DU-8164-01A-11D-2252-01	called	0.91	1.95	0	8	0.9	0.01	new
TCGA-DU-8165-01	TCGA-DU-8165-01A-11D-2252-01	called	0.57	5.76	2	38	0.79	0.21	new
TCGA-DU-8166-01	TCGA-DU-8166-01A-11D-2252-01	called	0.84	2.04	0	10	0.84	0.02	new
TCGA-DU-8167-01	TCGA-DU-8167-01A-11D-2252-01	called	0.49	3.87	1	30	0.65	0.23	new
TCGA-DU-8168-01	TCGA-DU-8168-01A-11D-2252-01	called	0.97	1.91	0	8	0.97	0.09	new
TCGA-DU-A5TP-01	TCGA-DU-A5TP-01A-11D-A288-01	called	0.68	3.95	1	20	0.81	0.04	new
TCGA-DU-A5TR-01	TCGA-DU-A5TR-01A-11D-A288-01	called	0.73	2.04	0	11	0.74	0.11	new
TCGA-DU-A5TS-01	TCGA-DU-A5TS-01A-11D-A288-01	called	0.78	1.97	0	10	0.77	0.11	new
TCGA-DU-A5TT-01	TCGA-DU-A5TT-01A-11D-A288-01	called	0.48	4.73	2	36	0.69	0.05	new
TCGA-DU-A5TU-01	TCGA-DU-A5TU-01A-11D-A288-01	called	0.81	2.04	0	10	0.82	0.22	new
TCGA-DU-A5TW-01	TCGA-DU-A5TW-01A-11D-A288-01	called	0.58	4.38	1	29	0.76	0.09	new
TCGA-DU-A5TY-01	TCGA-DU-A5TY-01A-11D-A288-01	called	0.57	4.1	1	28	0.73	0.04	new
TCGA-DU-A6S2-01	TCGA-DU-A6S2-01A-21D-A32A-01	called	0.54	3.89	1	27	0.7	0	new
TCGA-DU-A6S3-01	TCGA-DU-A6S3-01A-12D-A32A-01	called	0.79	1.95	0	10	0.79	0.07	new
TCGA-DU-A6S6-01	TCGA-DU-A6S6-01A-21D-A32A-01	called	0.86	1.97	0	9	0.86	0.04	new
TCGA-DU-A6S7-01	TCGA-DU-A6S7-01A-21D-A32A-01	called	0.76	4.06	1	19	0.87	0.49	new
TCGA-DU-A6S8-01	TCGA-DU-A6S8-01A-12D-A32A-01	called	0.76	3.53	1	17	0.84	0.91	new
TCGA-DU-A76K-01	TCGA-DU-A76K-01A-11D-A33S-01	called	0.61	2	0	13	0.61	0.01	new
TCGA-DU-A76L-01	TCGA-DU-A76L-01A-11D-A32A-01	called	0.65	1.99	0	12	0.64	0	new
TCGA-DU-A76O-01	TCGA-DU-A76O-01A-11D-A32A-01	called	0.72	4.09	1	20	0.84	0.02	new
TCGA-DU-A76R-01	TCGA-DU-A76R-01A-11D-A32A-01	called	0.82	1.91	0	9	0.81	0.2	new
TCGA-DU-A7T6-01	TCGA-DU-A7T6-01A-11D-A33S-01	called	0.81	5.51	2	30	0.92	0.11	new
TCGA-DU-A7T8-01	TCGA-DU-A7T8-01A-21D-A34I-01	called	0.79	4.08	1	19	0.89	0.11	new
TCGA-DU-A7TA-01	TCGA-DU-A7TA-01A-11D-A33S-01	called	0.75	3.94	1	19	0.86	0.05	new
TCGA-DU-A7TB-01	TCGA-DU-A7TB-01A-11D-A33S-01	called	0.68	2.03	0	12	0.69	0	new
TCGA-DU-A7TC-01	TCGA-DU-A7TC-01A-21D-A34I-01	called	0.64	3.88	1	21	0.78	0.15	new
TCGA-DU-A7TD-01	TCGA-DU-A7TD-01A-12D-A349-01	called	0.81	2.02	0	10	0.81	0	new
TCGA-DU-A7TG-01	TCGA-DU-A7TG-01A-21D-A34I-01	called	0.5	3.94	1	30	0.66	0	new
TCGA-DU-A7TI-01	TCGA-DU-A7TI-01A-11D-A33S-01	called	0.74	4.07	1	20	0.85	0.12	new
TCGA-DU-A7TJ-01	TCGA-DU-A7TJ-01A-11D-A34I-01	called	0.87	1.97	0	9	0.87	0.01	new
TCGA-E1-5302-01	TCGA-E1-5302-01A-01D-1466-01	called	0.85	2.01	0	9	0.85	0.25	new
TCGA-E1-5303-01	TCGA-E1-5303-01A-01D-1466-01	called	0.46	4.08	1	33	0.64	0.1	new
TCGA-E1-5304-01	TCGA-E1-5304-01A-01D-1466-01	called	0.93	3.46	1	15	0.96	0.16	new
TCGA-E1-5305-01	TCGA-E1-5305-01A-01D-1892-01	called	0.77	1.95	0	10	0.77	0.03	new
TCGA-E1-5307-01	TCGA-E1-5307-01A-01D-1892-01	called	0.19	3.75	1	69	0.3	0.28	new
TCGA-E1-5311-01	TCGA-E1-5311-01A-01D-1466-01	called	0.84	1.92	0	9	0.83	0.07	new
TCGA-E1-5318-01	TCGA-E1-5318-01A-01D-1466-01	called	0.78	3.92	1	18	0.88	0	new
TCGA-E1-5319-01	TCGA-E1-5319-01A-01D-1892-01	called	0.7	1.94	0	11	0.7	0	new
TCGA-E1-5322-01	TCGA-E1-5322-01A-01D-1466-01	called	0.74	3.87	1	19	0.85	0.22	new
TCGA-E1-A7YD-01	TCGA-E1-A7YD-01A-11D-A349-01	called	0.79	3.3	1	16	0.86	0.21	new
TCGA-E1-A7YE-01	TCGA-E1-A7YE-01A-11D-A349-01	called	0.8	1.84	0	9	0.79	0.08	new
TCGA-E1-A7YH-01	TCGA-E1-A7YH-01A-11D-A349-01	called	0.54	3.94	1	27	0.7	0.29	new
TCGA-E1-A7YI-01	TCGA-E1-A7YI-01A-11D-A349-01	called	0.92	1.98	0	8	0.91	0.04	new
TCGA-E1-A7YJ-01	TCGA-E1-A7YJ-01A-11D-A349-01	called	0.78	1.96	0	10	0.78	0	new
TCGA-E1-A7YK-01	TCGA-E1-A7YK-01A-11D-A349-01	called	0.45	5.73	2	43	0.7	0.06	new
TCGA-E1-A7YL-01	TCGA-E1-A7YL-01A-11D-A349-01	called	0.53	3.9	1	28	0.68	0.13	new
TCGA-E1-A7YM-01	TCGA-E1-A7YM-01A-11D-A349-01	called	0.5	1.95	0	16	0.49	0.02	new
TCGA-E1-A7YN-01	TCGA-E1-A7YN-01A-11D-A349-01	called	0.36	2.01	0	27	0.36	0.04	new
TCGA-E1-A7YO-01	TCGA-E1-A7YO-01A-11D-A349-01	called	0.77	3.89	1	18	0.87	0	new
TCGA-E1-A7YQ-01	TCGA-E1-A7YQ-01A-11D-A34I-01	called	0.59	2.89	1	18	0.67	0.3	new
TCGA-E1-A7YS-01	TCGA-E1-A7YS-01A-11D-A349-01	called	0.92	3.49	1	15	0.95	0.04	new
TCGA-E1-A7YU-01	TCGA-E1-A7YU-01A-11D-A34I-01	called	0.58	4.01	1	26	0.73	0.01	new
TCGA-E1-A7YV-01	TCGA-E1-A7YV-01A-11D-A34I-01	called	0.71	3.78	1	19	0.83	0.06	new
TCGA-E1-A7YW-01	TCGA-E1-A7YW-01A-11D-A34I-01	called	0.57	4.04	1	27	0.73	0.12	new
TCGA-E1-A7YY-01	TCGA-E1-A7YY-01A-11D-A34I-01	called	0.18	1.94	0	62	0.17	0.07	new
TCGA-E1-A7Z2-01	TCGA-E1-A7Z2-01A-21D-A34I-01	called	0.74	1.92	0	11	0.73	0	new
TCGA-E1-A7Z3-01	TCGA-E1-A7Z3-01A-11D-A34I-01	called	0.5	4.08	1	31	0.67	0.12	new
TCGA-E1-A7Z4-01	TCGA-E1-A7Z4-01A-11D-A34I-01	called	0.72	3.91	1	19	0.83	0.19	new
TCGA-E1-A7Z6-01	TCGA-E1-A7Z6-01A-11D-A34I-01	called	0.63	4.02	1	23	0.77	0.01	new
TCGA-EZ-7264-01	TCGA-EZ-7264-01A-11D-2023-01	called	0.97	1.82	0	7	0.97	0.06	new
TCGA-F6-A8O3-01	TCGA-F6-A8O3-01A-11D-A36N-01	called	0.92	1.88	0	8	0.91	0	new
TCGA-F6-A8O4-01	TCGA-F6-A8O4-01A-11D-A36N-01	called	0.81	2.03	0	10	0.82	0.05	new
TCGA-FG-5963-01	TCGA-FG-5963-01A-11D-1704-01	called	0.42	1.76	0	19	0.39	0.01	new
TCGA-FG-5964-01	TCGA-FG-5964-01A-11D-1704-01	called	0.64	1.85	0	12	0.62	0	new
TCGA-FG-5965-01	TCGA-FG-5965-01B-11D-1892-01	called	0.58	3.95	1	25	0.74	0	new
TCGA-FG-6688-01	TCGA-FG-6688-01A-11D-1892-01	called	0.38	1.99	0	22	0.38	0	new
TCGA-FG-6689-01	TCGA-FG-6689-01A-11D-1892-01	called	0.59	1.93	0	14	0.58	0.05	new
TCGA-FG-6690-01	TCGA-FG-6690-01A-11D-1892-01	called	0.52	2.02	0	16	0.53	0.07	new
TCGA-FG-6691-01	TCGA-FG-6691-01A-11D-1892-01	called	0.83	2.1	0	10	0.84	0.03	new
TCGA-FG-6692-01	TCGA-FG-6692-01A-11D-1892-01	called	0.84	2	0	9	0.84	0.02	new
TCGA-FG-7634-01	TCGA-FG-7634-01A-11D-2085-01	called	0.84	1.94	0	9	0.84	0.36	new
TCGA-FG-7636-01	TCGA-FG-7636-01A-11D-2085-01	called	0.81	3.94	1	18	0.89	0.25	new
TCGA-FG-7638-01	TCGA-FG-7638-01B-11D-2085-01	called	0.88	1.95	0	9	0.88	0.03	new
TCGA-FG-7641-01	TCGA-FG-7641-01B-11D-2252-01	called	0.79	1.91	0	10	0.79	0.09	new
TCGA-FG-7643-01	TCGA-FG-7643-01A-11D-2085-01	called	0.28	1.99	0	37	0.28	0.01	new
TCGA-FG-8181-01	TCGA-FG-8181-01A-11D-2252-01	called	0.74	2	0	11	0.74	0	new
TCGA-FG-8182-01	TCGA-FG-8182-01A-11D-2252-01	called	0.19	2.11	0	57	0.2	0.06	new
TCGA-FG-8185-01	TCGA-FG-8185-01A-11D-2252-01	called	0.76	4	1	19	0.86	0.08	new
TCGA-FG-8186-01	TCGA-FG-8186-01A-11D-2252-01	called	0.82	1.99	0	10	0.82	0.01	new
TCGA-FG-8188-01	TCGA-FG-8188-01A-11D-2252-01	called	0.27	3.96	1	51	0.42	0.11	new
TCGA-FG-8191-01	TCGA-FG-8191-01A-11D-2252-01	called	0.42	3.96	1	35	0.59	0.12	new
TCGA-FG-A4MT-01	TCGA-FG-A4MT-01A-11D-A26L-01	called	0.88	3.9	1	17	0.93	0.11	new
TCGA-FG-A4MW-01	TCGA-FG-A4MW-01A-11D-A26L-01	called	0.72	1.98	0	11	0.71	0.08	new
TCGA-FG-A4MX-01	TCGA-FG-A4MX-01A-11D-A26L-01	called	0.9	1.97	0	9	0.9	0.14	new
TCGA-FG-A4MY-01	TCGA-FG-A4MY-01A-11D-A26L-01	called	0.94	3.99	1	17	0.97	0.15	new
TCGA-FG-A60J-01	TCGA-FG-A60J-01A-11D-A288-01	called	0.75	3.92	1	19	0.85	0.1	new
TCGA-FG-A60K-01	TCGA-FG-A60K-01A-11D-A323-01	called	0.83	3.89	1	18	0.91	0	new
TCGA-FG-A60L-01	TCGA-FG-A60L-01A-12D-A31K-01	called	0.5	2.02	0	17	0.5	0.08	new
TCGA-FG-A6IZ-01	TCGA-FG-A6IZ-01A-11D-A31K-01	called	0.96	1.9	0	8	0.95	0.09	new
TCGA-FG-A6J1-01	TCGA-FG-A6J1-01A-11D-A31K-01	called	0.79	3.82	1	18	0.88	0	new
TCGA-FG-A6J3-01	TCGA-FG-A6J3-01A-11D-A31K-01	called	0.68	3.71	1	19	0.8	0.08	new
TCGA-FG-A70Y-01	TCGA-FG-A70Y-01A-12D-A34I-01	called	0.65	2.04	0	13	0.65	0.02	new
TCGA-FG-A70Z-01	TCGA-FG-A70Z-01A-12D-A33S-01	called	0.7	1.97	0	11	0.7	0	new
TCGA-FG-A710-01	TCGA-FG-A710-01A-12D-A33S-01	called	0.83	1.95	0	9	0.82	0	new
TCGA-FG-A711-01	TCGA-FG-A711-01A-21D-A33S-01	called	0.74	2	0	11	0.74	0.02	new
TCGA-FG-A713-01	TCGA-FG-A713-01A-11D-A32A-01	called	0.34	3.88	1	42	0.49	0.09	new
TCGA-FG-A87N-01	TCGA-FG-A87N-01A-11D-A36N-01	called	0.9	2.03	0	9	0.9	0.01	new
TCGA-FG-A87Q-01	TCGA-FG-A87Q-01A-11D-A36N-01	called	0.54	1.98	0	15	0.54	0.01	new
TCGA-FN-7833-01	TCGA-FN-7833-01A-11D-2085-01	called	0.91	1.98	0	9	0.91	0	new
TCGA-HT-7467-01	TCGA-HT-7467-01A-11D-2023-01	called	0.22	3.82	1	59	0.35	0	new
TCGA-HT-7468-01	TCGA-HT-7468-01A-11D-2023-01	called	0.99	1.92	0	7	0.99	0.07	new
TCGA-HT-7469-01	TCGA-HT-7469-01A-11D-2252-01	called	0.95	3.69	1	16	0.97	0.09	new
