array	sample	call.status	purity	ploidy	Genome.doublings	Coverage.for.80..power	Cancer.DNA.fraction	Subclonal.genome.fraction	solution
TCGA-12-0829-01	TCGA-12-0829-01A-01D-0384-01	called	0.42	2.05	0	20	0.42	0.02	new
TCGA-12-1088-01	TCGA-12-1088-01A-01D-0517-01	called	0.67	2.01	0	12	0.67	0.15	new
TCGA-12-1092-01	TCGA-12-1092-01B-01D-0517-01	called	0.66	2.06	0	13	0.66	0.25	new
TCGA-12-1093-01	TCGA-12-1093-01A-01D-0517-01	called	0.4	1.92	0	20	0.39	0.04	new
TCGA-12-1598-01	TCGA-12-1598-01A-01D-0591-01	called	0.91	1.96	0	8	0.91	0.4	new
TCGA-12-1599-01	TCGA-12-1599-01A-01D-0591-01	called	0.7	2.01	0	11	0.71	0.02	new
TCGA-12-1600-01	TCGA-12-1600-01A-01D-0591-01	called	0.9	2.01	0	9	0.9	0.12	new
TCGA-12-1602-01	TCGA-12-1602-01A-01D-0591-01	called	0.81	3.19	1	15	0.87	0.35	new
TCGA-12-3644-01	TCGA-12-3644-01A-01D-0911-01	called	0.83	1.98	0	9	0.83	0.08	new
TCGA-12-3646-01	TCGA-12-3646-01A-01D-0911-01	called	0.95	1.88	0	8	0.94	0.31	new
TCGA-12-3648-01	TCGA-12-3648-01A-01D-0911-01	called	0.93	2.04	0	9	0.93	0.02	new
TCGA-12-3649-01	TCGA-12-3649-01A-01D-0911-01	called	0.77	1.99	0	10	0.77	0.02	new
TCGA-12-3650-01	TCGA-12-3650-01A-01D-0911-01	called	0.87	2.03	0	9	0.88	0	new
TCGA-12-3651-01	TCGA-12-3651-01A-01D-0911-01	called	0.67	1.93	0	12	0.66	0.01	new
TCGA-12-3652-01	TCGA-12-3652-01A-01D-0911-01	called	0.92	1.93	0	8	0.92	0.02	new
TCGA-12-3653-01	TCGA-12-3653-01A-01D-0911-01	called	0.92	3.44	1	15	0.95	0.06	new
TCGA-12-5295-01	TCGA-12-5295-01A-01D-1479-01	called	0.73	1.91	0	11	0.72	0.01	new
TCGA-12-5299-01	TCGA-12-5299-01A-02D-1479-01	called	0.9	2.05	0	9	0.9	0	new
TCGA-12-5301-01	TCGA-12-5301-01A-01D-1479-01	called	0.87	1.96	0	9	0.87	0.01	new
TCGA-14-0736-01	TCGA-14-0736-01A-01D-0517-01	called	0.57	3.46	1	21	0.7	0.16	new
TCGA-14-0740-01	TCGA-14-0740-01B-01D-1842-01	called	0.89	3.59	1	16	0.94	0.07	new
TCGA-14-0781-01	TCGA-14-0781-01B-01D-1694-01	called	0.22	2.06	0	49	0.22	0.24	new
TCGA-14-0786-01	TCGA-14-0786-01B-01D-0517-01	called	0.9	2.02	0	9	0.9	0	new
TCGA-14-0787-01	TCGA-14-0787-01A-01D-0384-01	called	0.84	1.95	0	9	0.83	0	new
TCGA-14-0789-01	TCGA-14-0789-01A-01D-0384-01	called	0.56	2.03	0	15	0.57	0	new
TCGA-14-0790-01	TCGA-14-0790-01B-01D-0784-01	called	0.93	2.03	0	9	0.93	0.2	new
TCGA-14-0812-01	TCGA-14-0812-01B-01D-0591-01	called	0.66	1.92	0	12	0.65	0.21	new
TCGA-14-0813-01	TCGA-14-0813-01A-01D-0384-01	called	0.77	2	0	10	0.77	0.34	new
TCGA-14-0817-01	TCGA-14-0817-01A-01D-0384-01	called	0.82	1.93	0	9	0.81	0.68	new
TCGA-14-0862-01	TCGA-14-0862-01B-01D-1842-01	called	0.68	1.72	0	11	0.64	0.01	new
TCGA-14-0865-01	TCGA-14-0865-01B-01D-0591-01	called	0.9	3.55	1	15	0.94	0.08	new
TCGA-14-0866-01	TCGA-14-0866-01B-01D-0591-01	called	0.76	2.04	0	11	0.76	0	new
TCGA-14-0867-01	TCGA-14-0867-01A-01D-0384-01	called	0.85	1.92	0	9	0.84	0.54	new
TCGA-14-0871-01	TCGA-14-0871-01A-01D-0384-01	called	0.93	5.4	2	27	0.97	0.35	new
TCGA-14-1034-01	TCGA-14-1034-01A-01D-0517-01	called	0.54	3.95	1	28	0.7	0.03	new
TCGA-14-1037-01	TCGA-14-1037-01A-01D-0591-01	called	0.51	1.95	0	16	0.5	0	new
TCGA-14-1043-01	TCGA-14-1043-01B-11D-1842-01	called	0.54	2.05	0	15	0.55	0	new
TCGA-14-1395-01	TCGA-14-1395-01B-11D-1842-01	called	0.93	1.97	0	8	0.93	0.02	new
TCGA-14-1396-01	TCGA-14-1396-01A-01D-0517-01	called	0.76	2.14	0	11	0.77	0.02	new
TCGA-14-1450-01	TCGA-14-1450-01B-01D-1842-01	called	0.68	1.97	0	12	0.68	0.02	new
TCGA-14-1453-01	TCGA-14-1453-01A-01D-0517-01	called	0.95	1.85	0	8	0.95	0.22	new
TCGA-14-1455-01	TCGA-14-1455-01A-01D-0591-01	called	0.89	1.97	0	9	0.89	0	new
TCGA-14-1456-01	TCGA-14-1456-01B-01D-0784-01	called	0.8	2.04	0	10	0.81	0.05	new
TCGA-14-1458-01	TCGA-14-1458-01A-01D-0591-01	called	0.77	2.04	0	10	0.78	0.2	new
TCGA-14-1794-01	TCGA-14-1794-01A-01D-0591-01	called	0.7	2.03	0	12	0.7	0.79	new
TCGA-14-1795-01	TCGA-14-1795-01A-01D-0591-01	called	0.68	2.01	0	12	0.68	0	new
TCGA-14-1821-01	TCGA-14-1821-01A-01D-0591-01	called	0.98	1.94	0	8	0.98	0.16	new
TCGA-14-1825-01	TCGA-14-1825-01A-01D-0591-01	called	0.88	2.17	0	10	0.89	0.11	new
TCGA-14-1827-01	TCGA-14-1827-01A-01D-0591-01	called	0.78	2.04	0	10	0.79	0.05	new
TCGA-14-1829-01	TCGA-14-1829-01A-01D-0591-01	called	0.7	2.03	0	12	0.71	0.03	new
TCGA-14-2554-01	TCGA-14-2554-01A-01D-0784-01	called	0.81	2.08	0	10	0.81	0.01	new
TCGA-14-4157-01	TCGA-14-4157-01A-01D-1224-01	called	0.98	1.96	0	8	0.98	0.03	new
TCGA-15-0742-01	TCGA-15-0742-01A-01D-0333-01	called	0.92	1.94	0	8	0.92	0.18	new
TCGA-15-1446-01	TCGA-15-1446-01A-01D-0517-01	called	0.69	2.01	0	12	0.69	0	new
TCGA-16-0846-01	TCGA-16-0846-01A-01D-0384-01	called	0.64	3.72	1	20	0.76	0.55	new
TCGA-16-0848-01	TCGA-16-0848-01A-01D-0384-01	called	0.81	2.04	0	10	0.81	0.13	new
TCGA-16-0849-01	TCGA-16-0849-01A-01D-0384-01	called	0.86	2	0	9	0.86	0.08	new
TCGA-16-0850-01	TCGA-16-0850-01A-01D-0384-01	called	1	3.48	1	14	1	0.03	new
